Title,Year,Duration,MPA,Rating,Votes,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,directors,stars,production_companies,nominations,oscars,Category,Profit
35. Guess Who,2005,105.0,10,5.9,47000.0,35000000.0,103121466.0,68915888.0,20671446.0,54.276402162402775,54.276402162402775,54.276402162402775,0,0,2,2.9463276
36. Sahara,2005,124.0,10,6.1,106000.0,130000000.0,119240351.0,68671925.0,18068372.0,52.656449356444234,54.012399820709476,54.012399820709476,5,0,0,0.9172334692307692
37. Coach Carter,2005,136.0,10,7.3,177000.0,30000000.0,76669554.0,67264877.0,24182961.0,53.48933032335817,54.225571930094226,54.225571930094226,15,0,3,2.5556518
38. Herbie Fully Loaded,2005,101.0,4,4.9,52000.0,50000000.0,144146816.0,66023816.0,12709221.0,53.38059281076422,54.268154419674055,54.268154419674055,6,0,5,2.88293632
39. The Amityville Horror,2005,90.0,11,5.9,119000.0,19000000.0,107516369.0,65233369.0,23507007.0,54.62931211758471,54.62931211758471,54.62931211758471,4,0,6,5.658756263157895
40. Sky High,2005,100.0,9,6.3,97000.0,35000000.0,86369815.0,63946815.0,14631784.0,52.11841803913909,54.214129826555016,54.214129826555016,0,0,0,2.467709
41. Bewitched,2005,102.0,10,4.8,76000.0,85000000.0,131426169.0,63313159.0,20131130.0,53.504919840988116,54.094232424451576,54.094232424451576,13,0,5,1.5461902235294118
42. Jarhead,2005,125.0,11,7.0,213000.0,72000000.0,97076152.0,62658220.0,27726210.0,50.1558346816927,54.06848261275083,54.06848261275083,12,0,3,1.348279888888889
43. Cinderella Man,2005,144.0,10,8.0,202000.0,88000000.0,108539911.0,61649911.0,18320205.0,43.901614382005256,54.05353681688983,54.05353681688983,45,3,8,1.2334080795454545
44. The Family Stone,2005,103.0,10,6.3,79000.0,18000000.0,92884429.0,60062868.0,12521027.0,52.76265734904535,54.56445171501919,54.56445171501919,8,0,2,5.160246055555556
45. Red Eye,2005,85.0,10,6.5,152000.0,26000000.0,96258201.0,57891803.0,16167662.0,51.87308856394251,54.37475257635613,54.37475257635613,10,0,7,3.7022385
46. Memoirs of a Geisha,2005,145.0,10,7.3,165000.0,85000000.0,162242962.0,57490508.0,682504.0,50.20675545037571,54.14140331765146,54.14140331765146,47,0,8,1.9087407294117646
47. White Noise,2005,101.0,10,5.5,51000.0,10000000.0,91196419.0,56386759.0,24113565.0,52.88511748415255,55.07960266773905,55.07960266773905,2,0,6,9.1196419
48. Wallace & Gromit: The Curse of the Were-Rabbit,2005,85.0,4,7.5,150000.0,30000000.0,192705291.0,56110897.0,16025987.0,54.7288130205161,54.7288130205161,53.70601691268055,25,0,5,6.4235097
49. Be Cool,2005,118.0,10,5.6,73000.0,53000000.0,95763716.0,56046979.0,23450212.0,50.31877110241531,54.12814810524396,54.12814810524396,13,0,2,1.8068625660377358
"50. Yours, Mine & Ours",2005,88.0,9,5.5,31000.0,45000000.0,72662923.0,53412862.0,17461108.0,51.550633298975626,54.1031502412662,54.1031502412662,5,0,2,1.6147316222222223
51. Corpse Bride,2005,77.0,9,7.4,310000.0,40000000.0,117237680.0,53401527.0,388166.0,54.27440036545961,54.27440036545961,54.27440036545961,30,1,5,2.930942
52. Kicking & Screaming,2005,95.0,9,5.6,42000.0,45000000.0,56070433.0,52842724.0,20159925.0,54.05517638438213,54.05517638438213,54.05517638438213,0,0,2,1.2460096222222221
53. Hoodwinked!,2005,80.0,9,6.5,68000.0,30000000.0,110013167.0,51386611.0,0.0,54.370181484000234,54.370181484000234,54.370181484000234,0,0,2,3.6671055666666668
54. Hide and Seek,2005,101.0,11,5.9,90000.0,30000000.0,127369981.0,51100486.0,21959233.0,54.445457103644976,54.445457103644976,54.445457103644976,5,0,6,4.245666033333333
55. The Hitchhiker's Guide to the Galaxy,2005,109.0,9,6.7,211000.0,50000000.0,104478416.0,51085416.0,21103203.0,53.506531786591445,54.16493051958563,54.16493051958563,10,0,2,2.08956832
56. Syriana,2005,128.0,11,6.9,136000.0,50000000.0,93974620.0,50824620.0,374502.0,52.59311677376096,54.13759786213403,54.13759786213403,30,0,3,1.8794924
57. Diary of a Mad Black Woman,2005,116.0,10,5.7,16000.0,5500000.0,50652203.0,50633099.0,21905089.0,55.091292856203154,55.091292856203154,55.091292856203154,13,0,2,9.209491454545455
58. Racing Stripes,2005,102.0,9,5.2,19000.0,30000000.0,90754475.0,49772522.0,13920052.0,53.39622663148968,54.286657516188676,54.286657516188676,0,0,2,3.0251491666666666
59. Miss Congeniality 2: Armed & Fabulous,2005,115.0,10,5.2,82000.0,45000000.0,101393569.0,48478006.0,14043215.0,54.18621914167783,54.18621914167783,54.18621914167783,5,0,0,2.253190422222222
60. Just Like Heaven,2005,95.0,10,6.7,119000.0,58000000.0,102854431.0,48318130.0,16408718.0,48.923309816513395,54.12378813027049,54.12378813027049,0,0,5,1.7733522586206896
61. The Skeleton Key,2005,104.0,10,6.5,126000.0,43000000.0,93983911.0,47907715.0,16057945.0,53.39482133848415,54.17743446815778,54.17743446815778,0,0,6,2.185672348837209
62. Munich,2005,164.0,11,7.5,245000.0,70000000.0,130982407.0,47403685.0,4152260.0,47.18846046231208,54.13651598972408,54.13651598972408,75,5,4,1.871177242857143
63. Kingdom of Heaven,2005,144.0,11,7.3,327000.0,130000000.0,218237071.0,47398413.0,19635996.0,42.046052284317156,54.111479145372094,54.111479145372094,15,0,4,1.6787467
64. Hostel,2005,94.0,11,5.9,196000.0,4800000.0,81979826.0,47326473.0,19556099.0,49.63335443796504,56.11519957535235,56.11519957535235,14,0,6,17.07913041666667
